"","Brand","Product","Shade_Code","Hue","Saturation","Lightness"
"1","Maybelline","Fit Me","f3cfb3",26,0.26,86
"2","Maybelline","Fit Me","ffe3c2",32,0.24,92
"3","Maybelline","Fit Me","ffe0cd",23,0.2,91
"4","Maybelline","Fit Me","ffd3be",19,0.25,88
"5","Maybelline","Fit Me","bd9584",18,0.3,65
"6","Maybelline","Fit Me","eabda6",20,0.29,80
"7","Maybelline","Fit Me","fbd2ad",28,0.31,87
"8","Maybelline","Fit Me","e2b597",24,0.33,77
"9","Maybelline","Fit Me","e4b38e",26,0.38,77
"10","Maybelline","Fit Me","b2856f",20,0.38,60
"11","Maybelline","Fit Me","e8ba8c",30,0.4,79
"12","Maybelline","Fit Me","f3b584",26,0.46,79
"13","Maybelline","Fit Me","f0b996",23,0.37,80
"14","Maybelline","Fit Me","e3b082",28,0.43,76
"15","Maybelline","Fit Me","eab181",27,0.45,77
"16","Maybelline","Fit Me","9d7359",23,0.43,52
"17","Maybelline","Fit Me","e2aa7b",27,0.46,74
"18","Maybelline","Fit Me","d99358",27,0.59,67
"19","Maybelline","Fit Me","9c744f",29,0.49,52
"20","Maybelline","Fit Me","b18b65",30,0.43,61
"21","Maybelline","Fit Me","84583f",22,0.52,42
"22","Maybelline","Fit Me","7d5631",29,0.61,40
"23","Maybelline","Fit Me","c07746",24,0.64,57
"24","Maybelline","Fit Me","643c27",21,0.61,30
"25","Maybelline","Fit Me","edcfb9",25,0.22,85
"26","Maybelline","Fit Me","e1bba7",21,0.26,79
"27","Maybelline","Fit Me","c1a07e",30,0.35,68
"28","Maybelline","Fit Me","d09e7c",24,0.4,69
"29","Maybelline","Fit Me","c7967d",20,0.37,66
"30","Maybelline","Fit Me","c09578",24,0.38,65
"31","Maybelline","Fit Me","9d6f48",28,0.54,51
"32","Maybelline","Fit Me","a86d40",26,0.62,52
"33","Maybelline","Fit Me","7f5c3b",29,0.54,42
"34","Maybelline","Fit Me","735642",24,0.43,39
"35","Maybelline","Fit Me","6b5041",21,0.39,37
"36","Maybelline","Fit Me","7d5c4d",19,0.38,42
"37","Maybelline","Fit Me","5c4433",25,0.45,31
"38","Maybelline","Fit Me","5e3a23",23,0.63,28
"39","Maybelline","Fit Me","5e4638",22,0.4,32
"40","Maybelline","Fit Me","3f2018",12,0.62,16
"41","bareMinerals","barePRO","edceb2",28,0.25,85
"42","bareMinerals","barePRO","f0cba1",32,0.33,84
"43","bareMinerals","barePRO","ebc99c",34,0.34,83
"44","bareMinerals","barePRO","e6bc94",29,0.36,79
"45","bareMinerals","barePRO","dcb79a",26,0.3,77
"46","bareMinerals","barePRO","eac8a3",31,0.3,83
"47","bareMinerals","barePRO","e9c89e",34,0.32,83
"48","bareMinerals","barePRO","d4ad8a",28,0.35,74
"49","bareMinerals","barePRO","cfa786",27,0.35,72
"50","bareMinerals","barePRO","d8b08c",28,0.35,75
